,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,0,partie,part
1,1,1,1,1,histoire,history
2,3,3,3,3,seulement,only
3,4,4,4,4,police,police
4,5,5,6,7,demande,request
5,6,6,7,8,genre,kind
6,7,7,9,10,frère,brother
7,8,8,10,11,laisser,let
8,9,10,12,13,mettre,to put
9,10,11,13,14,aucun,no
10,11,12,14,15,laisse,leash
11,12,13,16,17,ville,city
12,14,15,18,19,parlé,speak
13,15,16,19,20,arrivé,come
14,16,17,20,21,devrait,should
15,17,18,23,24,heures,hours
16,18,19,24,25,vont,will
17,19,20,25,26,pendant,while
18,20,21,26,27,revoir,meet again
19,21,22,27,28,aucune,any
20,22,23,28,29,place,square
21,23,25,30,31,compris,understood
22,24,26,31,32,savais,knew
23,25,28,33,34,attention,Warning
24,26,30,36,37,affaire,case
25,27,31,38,39,type,type
26,28,32,39,40,leurs,their
27,29,33,40,41,donné,given
28,30,34,41,42,train,train
29,31,35,42,43,corps,body
30,32,36,43,44,endroit,place
31,33,37,44,45,yeux,eyes
32,34,38,47,48,trouve,find
33,35,39,48,49,premier,first
34,36,40,51,52,première,first
35,37,41,52,53,côté,side
36,38,43,55,56,tiens,here
37,39,44,56,57,matin,morning
38,40,45,57,58,tellement,so much
39,41,46,58,59,enfant,child
40,42,47,59,60,point,point
41,43,48,61,62,suite,after
42,44,49,62,63,pardon,sorry
43,45,50,63,64,venez,come
44,46,51,65,66,vers,towards
45,47,52,67,68,demandé,request
46,48,53,68,69,chambre,bedroom
47,49,54,69,70,mis,placed
48,50,55,70,71,droit,law
49,51,56,71,72,aimerais,would like to
50,52,57,73,74,mari,husband
51,53,58,74,75,cause,cause
52,54,59,76,77,espère,hope
53,55,60,78,79,parti,left
54,56,61,82,83,dirait,would say
55,57,63,86,87,loin,far
56,58,64,87,88,fin,end
57,59,65,88,89,croire,believe
58,60,66,89,90,chérie,sweetheart
59,61,67,90,91,gros,large
60,62,68,91,92,plutôt,rather
61,63,69,92,94,filles,girls
62,64,70,93,96,bureau,office
